,mmHg vs. Sensor 2,,,,,,,,,,,
Ticket #,0,5,10,15,20,25,30,40,50,60,,0
1,317,266,267,259,272,258,246,261,267,255,,
2,316,250,272,269,271,259,272,272,262,261,,
3,308,256,271,261,285,269,263,257,254,268,,
4,304,267,273,258,259,262,274,269,267,261,,
5,309,272,265,260,272,267,259,256,261,267,,
6,320,272,269,257,274,249,269,271,256,247,,
7,306,275,257,257,272,264,261,263,261,258,,
8,306,286,265,256,272,256,262,262,263,265,,60
9,305,272,246,262,273,259,272,268,262,270,,
10,320,273,267,266,272,261,256,247,253,258,,
11,313,273,271,262,256,258,262,258,259,262,,
12,322,271,252,251,272,252,265,266,256,266,,
13,315,267,251,260,273,266,261,269,269,266,,
14,304,268,269,263,274,263,270,267,266,270,,
15,297,272,265,261,257,260,256,263,261,256,,
16,303,276,270,272,272,256,262,259,261,261,,
17,306,260,271,259,267,272,258,253,266,257,,
18,309,263,245,255,261,270,258,256,255,271,,
19,306,251,261,266,262,256,260,269,258,262,,
20,304,253,256,271,272,267,259,258,260,257,,
21,301,257,262,262,272,260,267,261,256,273,,
22,319,262,272,268,263,258,264,271,263,270,,
23,311,248,269,263,266,263,251,260,251,265,,
24,318,256,257,262,273,271,273,264,256,271,,
25,288,253,270,261,273,262,272,261,257,269,,
26,291,256,274,260,256,258,266,262,256,272,,
27,306,255,259,265,263,256,261,258,265,269,,
28,311,257,261,266,277,263,263,253,262,268,,
29,295,253,272,263,266,258,270,267,259,259,,
30,305,256,268,269,271,257,267,254,255,269,,
31,320,257,269,266,272,260,269,251,254,261,,
32,313,255,261,270,269,268,274,261,261,271,,
33,302,261,272,264,263,270,261,257,257,275,,
34,303,254,256,266,272,257,259,269,261,261,,
35,301,256,252,263,271,263,262,253,272,271,,
36,315,257,258,263,269,270,272,270,256,271,,
37,304,265,273,263,273,256,272,262,256,272,,
38,317,259,272,256,272,261,262,272,261,260,,
39,315,265,267,262,275,261,272,263,265,272,,
40,320,267,267,268,272,262,261,266,266,274,,
41,307,266,256,267,273,263,253,262,257,256,,
42,308,258,272,265,271,266,258,267,261,265,,
43,299,271,268,262,265,271,270,257,261,265,,
44,309,263,256,268,281,262,271,272,259,260,,
45,316,260,259,266,267,253,272,266,266,270,,
46,303,256,267,278,269,262,263,249,256,262,,
47,304,261,272,260,272,269,263,263,258,267,,
48,313,252,265,259,268,260,269,263,260,265,,
49,299,257,256,265,265,257,272,270,261,267,,
50,306,270,270,259,275,266,263,269,259,263,,
51,304,262,272,267,277,262,262,270,246,259,,
52,294,266,267,250,265,258,269,262,256,261,,
53,303,266,268,262,273,271,272,284,256,261,,
54,298,279,269,262,269,273,256,272,262,265,,
55,304,266,272,268,261,259,258,259,259,263,,
56,307,272,269,258,272,262,259,272,256,262,,
57,292,257,274,269,276,267,272,272,259,261,,
58,297,258,268,265,277,274,260,272,256,264,,
59,310,266,271,270,275,267,255,251,258,270,,
60,304,271,272,265,278,263,270,267,256,259,,
61,311,272,258,265,272,259,273,258,268,269,,
62,285,272,272,268,272,269,263,260,262,262,,
63,289,272,261,258,270,270,271,261,257,257,,
64,304,269,269,268,263,263,270,261,270,256,,
65,303,269,267,261,270,260,264,270,272,259,,
66,298,272,262,265,263,266,260,263,265,258,,
67,303,272,256,259,272,266,271,267,266,261,,
68,304,277,262,258,276,269,260,252,255,265,,
69,297,269,261,266,273,272,263,271,262,270,,
70,301,273,257,262,275,264,263,261,261,266,,
71,287,266,261,263,272,273,263,259,254,267,,
72,305,270,266,270,270,253,259,262,256,256,,
73,297,258,263,265,274,265,263,257,262,259,,
74,287,273,272,267,272,272,272,266,263,269,,
75,297,272,262,257,276,265,272,272,262,272,,
76,293,272,261,267,269,256,267,268,262,263,,
77,293,275,270,260,274,262,265,257,256,261,,
78,304,266,269,269,258,268,267,266,265,269,,
79,299,280,261,266,276,266,267,257,265,261,,
80,299,272,272,259,267,262,260,259,261,265,,
81,289,259,256,261,272,257,272,255,260,273,,
82,303,268,272,272,261,272,267,268,256,263,,
83,297,272,259,269,275,256,272,252,269,279,,
84,302,258,261,272,272,268,258,255,266,271,,
85,311,272,259,257,263,258,272,257,270,267,,
86,293,279,271,266,272,277,272,259,266,266,,
87,304,272,272,265,266,262,265,251,263,271,,
88,288,269,272,263,270,266,271,259,254,271,,
89,291,274,265,269,268,263,271,257,267,271,,
90,309,282,262,263,272,259,267,256,256,272,,
91,286,273,263,267,272,273,262,266,247,266,,
92,299,282,271,269,264,271,265,258,253,267,,
93,297,279,268,256,267,266,263,253,263,271,,
94,293,277,272,269,266,269,261,270,254,273,,
95,289,272,250,257,271,259,270,259,258,266,,
96,302,273,262,271,275,267,267,256,257,272,,
97,300,262,263,267,262,265,261,258,258,273,,
98,288,275,266,262,273,272,256,259,269,266,,
99,303,279,263,256,266,267,272,257,269,262,,
100,295,279,265,,261,,,269,262,271,,
101,,278,264,,272,,,,258,270,,
102,,271,,,,,,,263,272,,
103,,286,,,,,,,264,269,,
104,,271,,,,,,,,273,,
105,,267,,,,,,,,256,,
106,,271,,,,,,,,270,,
107,,273,,,,,,,,271,,
108,,272,,,,,,,,262,,
109,,277,,,,,,,,274,,
110,,266,,,,,,,,,,
111,,274,,,,,,,,,,
112,,276,,,,,,,,,,
113,,272,,,,,,,,,,
114,,271,,,,,,,,,,
115,,273,,,,,,,,,,
116,,271,,,,,,,,,,
117,,285,,,,,,,,,,
118,,273,,,,,,,,,,
119,,273,,,,,,,,,,
120,,272,,,,,,,,,,
121,,273,,,,,,,,,,
122,,275,,,,,,,,,,
123,,272,,,,,,,,,,
124,,278,,,,,,,,,,
125,,281,,,,,,,,,,
126,,272,,,,,,,,,,
127,,282,,,,,,,,,,
128,,272,,,,,,,,,,
129,,278,,,,,,,,,,
130,,272,,,,,,,,,,
131,,282,,,,,,,,,,
132,,271,,,,,,,,,,
133,,275,,,,,,,,,,
134,,270,,,,,,,,,,
,,271,,,,,,,,,,
,,277,,,,,,,,,,
,,272,,,,,,,,,,
,,278,,,,,,,,,,
,,274,,,,,,,,,,
,,270,,,,,,,,,,
,,279,,,,,,,,,,
,,281,,,,,,,,,,
,,275,,,,,,,,,,
,,282,,,,,,,,,,
,,272,,,,,,,,,,
,,272,,,,,,,,,,
,,275,,,,,,,,,,
,,266,,,,,,,,,,
,,279,,,,,,,,,,
,,261,,,,,,,,,,
,,281,,,,,,,,,,
,,272,,,,,,,,,,
,,283,,,,,,,,,,
,,272,,,,,,,,,,
,,277,,,,,,,,,,
,,274,,,,,,,,,,
,,281,,,,,,,,,,
,,256,,,,,,,,,,
,,275,,,,,,,,,,
,,279,,,,,,,,,,
,,270,,,,,,,,,,
,,283,,,,,,,,,,
,,282,,,,,,,,,,
,,266,,,,,,,,,,
,,273,,,,,,,,,,
,,272,,,,,,,,,,
,,274,,,,,,,,,,
,,269,,,,,,,,,,
,,261,,,,,,,,,,
,,279,,,,,,,,,,
,,277,,,,,,,,,,
,,273,,,,,,,,,,
,,277,,,,,,,,,,
,,272,,,,,,,,,,
,,276,,,,,,,,,,
,,275,,,,,,,,,,
,,287,,,,,,,,,,
,,288,,,,,,,,,,